Sequence,Customer_ID,Occu,Salary,total_asset,Loan_Type,Loan_Amount,Amount_Paid,Pay_now,Pay_now_total,Num_Missed_Pay,Total_Installments
800,NEKOR884973033,Judge/Attorney,46697,1738085,Personal loan,14937,1659,5,8295,8,9
801,NEKOR019065455,Business Owner/Personal Business,9357,4745659,Personal loan,6207,344,16,5504,4,18
802,NEKOR367942827,Police/Military,14867,755414,Occupational Loans,6290,174,23,4002,0,36
803,NEKOR790957875,Retired,19890,4293833,Personal loan,17185,5728,3,17184,3,3
804,NEKOR275841909,Police/Military,3028,1737306,Personal loan,3023,503,3,1509,2,6
805,NEKOR642137807,Student,9355,192973,Occupational Loans,3465,385,8,3080,4,9
806,NEKOR213026934,Business Owner/Personal Business,223423,1140079,Personal loan,209351,8722,8,69776,4,24
807,NEKOR796973136,Business Owner/Personal Business,104651,3171068,Occupational Loans,47745,15915,3,47745,5,3
808,NEKOR794812508,Retired,8940,7038372,Personal loan,3536,589,3,1767,5,6
809,NEKOR114299204,Judge/Attorney,17231,2233353,Personal loan,14707,408,29,11832,9,36
810,NEKOR475927794,Politician/Family Member or Close Asscociates,20761,3044949,Occupational Loans,18784,3130,3,9390,2,6
811,NEKOR974221537,Lawyer/Accountant,30381,2871511,Personal loan,12265,511,15,7665,2,24
812,NEKOR124860072,Business Owner/Personal Business,312164,2064094,Personal loan,260525,7236,15,108540,9,36
813,NEKOR963023626,Student,8667,110302,Vehicle loan,4577,127,22,2794,7,36
814,NEKOR871098963,Docter/Nurse/Pharmacist,50893,1320541,Personal loan,26463,8821,3,26463,7,3
815,NEKOR452764326,Judge/Attorney,30983,2612121,Vehicle loan,13932,2322,6,13932,8,6
816,NEKOR962707357,Lawyer/Accountant,33886,2186624,Vehicle loan,29559,1642,3,4926,9,18
817,NEKOR834331089,Tour Guide,16004,4929288,Vehicle loan,8973,747,6,4482,10,12
818,NEKOR684577964,Lawyer/Accountant,18443,1369648,Personal loan,6694,1115,5,5575,6,6
819,NEKOR351262944,Student,8329,161777,Occupational Loans,6870,190,18,3420,10,36
820,NEKOR736907847,Retired,19915,8925619,Vehicle loan,12910,717,18,12906,3,18
821,NEKOR961038730,Retired,32901,7657661,Occupational Loans,32435,2702,10,27020,2,12
822,NEKOR560344019,Docter/Nurse/Pharmacist,25685,162162,Vehicle loan,11686,1947,3,5841,0,6
823,NEKOR045406894,Other,46382,4386347,Personal loan,25652,712,35,24920,1,36
824,NEKOR282716521,Judge/Attorney,17326,2957517,Personal loan,15834,5278,3,15834,8,3
825,NEKOR792310649,Street Vendor,4833,3811221,Personal loan,4192,232,17,3944,6,18
826,NEKOR919544287,Employee,7431,153302,Vehicle loan,4532,1510,3,4530,1,3
827,NEKOR809302904,Student,14538,36627,Occupational Loans,6074,253,6,1518,5,24
828,NEKOR592023393,Retired,5789,3422276,Personal loan,4570,761,4,3044,10,6
829,NEKOR047440018,Charity Officer,3365,951565,Vehicle loan,3233,1077,3,3231,6,3
830,NEKOR200912785,Other,52416,1186836,Personal loan,13232,367,7,2569,1,36
831,NEKOR678191890,Lawyer/Accountant,33205,6116140,Personal loan,28012,9337,3,28011,7,3
832,NEKOR355446988,Judge/Attorney,66495,4827070,Personal loan,43074,14358,3,43074,6,3
833,NEKOR210766256,Street Vendor,12634,2863401,Personal loan,8115,2705,3,8115,4,3
834,NEKOR305709873,Judge/Attorney,62992,2245953,Occupational Loans,42850,2380,18,42840,0,18
835,NEKOR414787353,Student,22682,177982,Personal loan,3936,109,27,2943,10,36
836,NEKOR840007677,Charity Officer,3169,270862,Occupational Loans,3092,515,4,2060,1,6
837,NEKOR555756154,Student,25020,98063,Vehicle loan,20138,839,23,19297,2,24
838,NEKOR127646412,Tour Guide,11467,3619914,Occupational Loans,9158,508,14,7112,6,18
839,NEKOR072726111,Other,54358,392581,Vehicle loan,48952,8158,5,40790,1,6
840,NEKOR362147399,Judge/Attorney,103935,4851032,Vehicle loan,76878,3203,12,38436,4,24
841,NEKOR537118393,Lawyer/Accountant,13291,672473,Personal loan,4140,690,4,2760,9,6
842,NEKOR970907256,Teacher/Instructor,4840,2748609,Occupational Loans,4719,196,20,3920,8,24
843,NEKOR086773875,Retired,15653,9124486,Personal loan,6902,1150,6,6900,6,6
844,NEKOR544373004,Police/Military,5406,764051,Personal loan,3280,546,5,2730,5,6
845,NEKOR709851175,Docter/Nurse/Pharmacist,10726,241610,Vehicle loan,7553,2517,3,7551,4,3
846,NEKOR092663385,Street Vendor,19159,1755671,Vehicle loan,9612,400,12,4800,4,24
847,NEKOR811925791,Lawyer/Accountant,39926,7284265,Personal loan,27348,1139,3,3417,1,24
848,NEKOR094297300,Retired,21590,2526172,Vehicle loan,14182,590,22,12980,5,24
849,NEKOR492897217,Lawyer/Accountant,11859,5494231,Occupational Loans,7101,591,5,2955,5,12
850,NEKOR742637375,Student,29938,10076,Personal loan,20318,1128,17,19176,10,18
851,NEKOR347564377,Charity Officer,4353,716391,Occupational Loans,4073,339,12,4068,3,12
852,NEKOR853719949,Business Owner/Personal Business,101325,4720087,Occupational Loans,9859,410,12,4920,3,24
853,NEKOR728809361,Judge/Attorney,49488,4300299,Personal loan,19167,2129,9,19161,8,9
854,NEKOR895352401,Lawyer/Accountant,54468,3991529,Occupational Loans,51927,8654,6,51924,0,6
855,NEKOR722594198,Judge/Attorney,46857,4460718,Occupational Loans,15483,645,5,3225,4,24
856,NEKOR240503249,Agent/Insurance Broker,17962,291218,Occupational Loans,11428,317,8,2536,10,36
857,NEKOR422452666,Business Owner/Personal Business,9736,213843,Personal loan,5427,1809,3,5427,10,3
858,NEKOR819477192,Househusband/Housewife/Unemployed,3996,108555,Occupational Loans,3485,387,6,2322,0,9
859,NEKOR546443256,Student,22464,189789,Occupational Loans,13762,4587,3,13761,4,3
860,NEKOR525705093,Business Owner/Personal Business,3297,3636816,Vehicle loan,3173,132,14,1848,7,24
861,NEKOR505202928,Charity Officer,6453,695181,Vehicle loan,4992,554,7,3878,2,9
862,NEKOR209398544,Employee,40357,122794,Personal loan,37563,12521,3,37563,5,3
863,NEKOR531149393,Other,84252,997287,Personal loan,82791,6899,11,75889,6,12
864,NEKOR182766740,Judge/Attorney,41839,65201,Occupational Loans,32378,2698,8,21584,8,12
865,NEKOR082561596,Agent/Insurance Broker,18003,237533,Occupational Loans,4489,748,4,2992,9,6
866,NEKOR330579288,Lawyer/Accountant,3323,9137061,Vehicle loan,3203,266,7,1862,1,12
867,NEKOR298167460,Other,25450,185131,Vehicle loan,3539,98,16,1568,1,36
868,NEKOR176654415,Employee,28102,120965,Vehicle loan,24218,4036,4,16144,4,6
869,NEKOR130619617,Police/Military,4971,529665,Vehicle loan,3587,99,25,2475,10,36
870,NEKOR306072946,Judge/Attorney,51883,1514028,Vehicle loan,46068,1279,16,20464,8,36
871,NEKOR627506695,Employee,3885,131297,Occupational Loans,3081,1027,3,3081,2,3
872,NEKOR719691133,Other,17550,2729296,Personal loan,4124,114,27,3078,2,36
873,NEKOR387389691,Politician/Family Member or Close Asscociates,8976,7501871,Vehicle loan,7499,624,5,3120,8,12
874,NEKOR537030901,Politician/Family Member or Close Asscociates,15526,1081503,Occupational Loans,14107,1175,7,8225,4,12
875,NEKOR608696031,Politician/Family Member or Close Asscociates,4764,1833838,Personal loan,4304,1434,3,4302,7,3
876,NEKOR305235864,Charity Officer,3187,41362,Personal loan,3041,253,12,3036,0,12
877,NEKOR055604990,Police/Military,6349,74250,Vehicle loan,6180,515,3,1545,2,12
878,NEKOR768925550,Tour Guide,16166,2560941,Occupational Loans,12795,710,18,12780,0,18
879,NEKOR485666108,Employee,14991,64336,Occupational Loans,4179,464,4,1856,9,9
880,NEKOR330140141,Judge/Attorney,14322,966046,Vehicle loan,12351,1372,6,8232,7,9
881,NEKOR529661335,Street Vendor,4675,1436956,Occupational Loans,4621,385,8,3080,1,12
882,NEKOR697382644,Charity Officer,3245,564449,Occupational Loans,3075,170,17,2890,0,18
883,NEKOR034822390,Charity Officer,13177,37758,Personal loan,5792,643,8,5144,6,9
884,NEKOR954249333,Street Vendor,6565,423234,Occupational Loans,5639,626,7,4382,7,9
885,NEKOR915452535,Lawyer/Accountant,13095,8881728,Vehicle loan,9479,1053,6,6318,2,9
886,NEKOR812383413,Street Vendor,19041,631148,Personal loan,5807,322,15,4830,10,18
887,NEKOR847714795,Lawyer/Accountant,51042,4581467,Vehicle loan,20133,3355,5,16775,10,6
888,NEKOR592900931,Docter/Nurse/Pharmacist,6309,928419,Vehicle loan,4784,797,5,3985,8,6
889,NEKOR050553432,Agent/Insurance Broker,27467,233347,Personal loan,12744,354,7,2478,3,36
890,NEKOR374890677,Agent/Insurance Broker,29057,115612,Personal loan,26641,2960,9,26640,5,9
891,NEKOR779040538,Retired,18450,8523780,Occupational Loans,11499,3833,3,11499,3,3
892,NEKOR064340533,Agent/Insurance Broker,18309,172808,Personal loan,7985,887,9,7983,4,9
893,NEKOR886900911,Teacher/Instructor,6440,1901527,Personal loan,4810,801,5,4005,4,6
894,NEKOR986199421,Agent/Insurance Broker,44003,280597,Personal loan,22380,932,14,13048,0,24
895,NEKOR778056340,Tour Guide,24430,456855,Vehicle loan,12050,502,17,8534,10,24
896,NEKOR572947912,Police/Military,31131,1768865,Vehicle loan,8991,2997,3,8991,10,3
897,NEKOR727282258,Retired,30201,1658230,Occupational Loans,12947,1438,9,12942,8,9
898,NEKOR103259890,Docter/Nurse/Pharmacist,29688,172176,Personal loan,25850,2872,9,25848,4,9
899,NEKOR399199003,Lawyer/Accountant,49928,1633123,Personal loan,30298,1683,3,5049,7,18
900,NEKOR775792771,Other,17083,992986,Vehicle loan,9639,267,6,1602,10,36
901,NEKOR392454383,Employee,32751,94910,Occupational Loans,18070,1505,5,7525,6,12
902,NEKOR612626436,Househusband/Housewife/Unemployed,6198,80384,Vehicle loan,5100,141,22,3102,3,36
903,NEKOR165709107,Agent/Insurance Broker,10325,194557,Personal loan,3853,214,13,2782,7,18
904,NEKOR089763019,Police/Military,8222,333463,Vehicle loan,7633,318,22,6996,6,24
905,NEKOR606129565,Teacher/Instructor,44675,615719,Vehicle loan,35010,2917,10,29170,10,12
906,NEKOR609980532,Retired,22926,2355401,Personal loan,15938,664,5,3320,2,24
907,NEKOR173010305,Docter/Nurse/Pharmacist,47905,467975,Personal loan,6083,253,5,1265,6,24
908,NEKOR835006688,Teacher/Instructor,7877,1417406,Vehicle loan,3279,182,3,546,4,18
909,NEKOR978778406,Househusband/Housewife/Unemployed,6079,13874,Vehicle loan,5809,645,3,1935,5,9
910,NEKOR951484986,Charity Officer,4088,353365,Vehicle loan,3077,512,4,2048,5,6
911,NEKOR216768802,Docter/Nurse/Pharmacist,23816,1917696,Vehicle loan,19572,815,20,16300,2,24
912,NEKOR498476864,Judge/Attorney,40012,1071406,Occupational Loans,19496,1083,7,7581,3,18
913,NEKOR572949644,Judge/Attorney,42845,2992585,Personal loan,22786,632,20,12640,6,36
914,NEKOR652091567,Politician/Family Member or Close Asscociates,9145,9058994,Occupational Loans,4129,114,10,1140,10,36
915,NEKOR461597513,Student,19617,35993,Occupational Loans,17869,5956,3,17868,2,3
916,NEKOR937430344,Judge/Attorney,143225,1969262,Occupational Loans,58484,19494,3,58482,4,3
917,NEKOR766262771,Teacher/Instructor,45505,4643142,Vehicle loan,44723,4969,4,19876,8,9
918,NEKOR382500145,Judge/Attorney,49539,3422689,Occupational Loans,10382,432,23,9936,9,24
919,NEKOR445885998,Docter/Nurse/Pharmacist,32510,421195,Personal loan,20113,6704,3,20112,0,3
920,NEKOR128646710,Street Vendor,16454,4860306,Vehicle loan,5519,459,9,4131,8,12
921,NEKOR537295643,Other,5514,2924823,Personal loan,4141,460,7,3220,10,9
922,NEKOR703832694,Student,13869,87025,Vehicle loan,13220,1101,5,5505,6,12
923,NEKOR785556700,Student,16947,55010,Vehicle loan,9466,788,9,7092,3,12
924,NEKOR524548928,Business Owner/Personal Business,71899,2025085,Vehicle loan,57396,2391,20,47820,0,24
925,NEKOR953180396,Lawyer/Accountant,125482,4144011,Vehicle loan,33822,3758,8,30064,3,9
926,NEKOR376083318,Agent/Insurance Broker,33030,495151,Occupational Loans,19874,1656,8,13248,0,12
927,NEKOR344955739,Lawyer/Accountant,68802,9727288,Vehicle loan,32010,889,23,20447,1,36
928,NEKOR142208564,Employee,5882,56377,Occupational Loans,3843,427,4,1708,8,9
929,NEKOR950855970,Charity Officer,6891,615408,Vehicle loan,3230,179,15,2685,8,18
930,NEKOR288564989,Docter/Nurse/Pharmacist,35100,132708,Occupational Loans,10158,1693,6,10158,0,6
931,NEKOR298510193,Retired,15168,7334425,Personal loan,9622,400,23,9200,7,24
932,NEKOR689341841,Retired,31814,3491276,Vehicle loan,6470,1078,5,5390,7,6
933,NEKOR002942748,Other,19130,312195,Occupational Loans,8920,991,6,5946,6,9
934,NEKOR883174289,Charity Officer,7266,658821,Personal loan,4493,187,7,1309,2,24
935,NEKOR625179855,Police/Military,23534,1439811,Personal loan,15952,1329,10,13290,3,12
936,NEKOR176630149,Employee,16223,21740,Occupational Loans,9519,1057,6,6342,4,9
937,NEKOR941416716,Agent/Insurance Broker,8289,277146,Occupational Loans,3720,620,3,1860,1,6
938,NEKOR199207380,Agent/Insurance Broker,6016,301622,Vehicle loan,4506,250,7,1750,5,18
939,NEKOR556005727,Street Vendor,56361,900608,Vehicle loan,17122,713,7,4991,0,24
940,NEKOR027523534,Retired,28145,7134338,Personal loan,22919,7639,3,22917,2,3
941,NEKOR191801336,Teacher/Instructor,35766,1724553,Vehicle loan,27267,1514,11,16654,4,18
942,NEKOR289349743,Street Vendor,10408,2203052,Personal loan,6566,547,12,6564,4,12
943,NEKOR279916918,Judge/Attorney,31511,107096,Personal loan,10808,300,27,8100,7,36
944,NEKOR199177091,Retired,18647,3722124,Personal loan,6169,514,9,4626,7,12
945,NEKOR282834644,Street Vendor,21605,1413784,Vehicle loan,3027,252,10,2520,9,12
946,NEKOR389057970,Lawyer/Accountant,45565,8181915,Occupational Loans,3637,606,5,3030,0,6
947,NEKOR240443092,Student,22390,117496,Occupational Loans,8964,498,14,6972,3,18
948,NEKOR487575612,Police/Military,22287,222044,Vehicle loan,14614,1217,9,10953,1,12
949,NEKOR429196396,Lawyer/Accountant,72262,357812,Vehicle loan,63436,2643,9,23787,10,24
950,NEKOR690273294,Tour Guide,28170,1715956,Vehicle loan,5620,312,16,4992,0,18
951,NEKOR379903637,Student,31735,177492,Personal loan,5438,226,22,4972,6,24
952,NEKOR899769828,Househusband/Housewife/Unemployed,3673,25151,Occupational Loans,3243,270,11,2970,9,12
953,NEKOR014348816,Employee,13303,111315,Vehicle loan,5788,964,3,2892,8,6
954,NEKOR512872617,Student,27108,29474,Vehicle loan,3520,97,14,1358,3,36
955,NEKOR079556795,Docter/Nurse/Pharmacist,57806,1123202,Vehicle loan,53079,17693,3,53079,4,3
956,NEKOR251816381,Politician/Family Member or Close Asscociates,5408,5117222,Vehicle loan,3830,1276,3,3828,9,3
957,NEKOR926966651,Employee,17830,56001,Vehicle loan,15395,427,8,3416,10,36
958,NEKOR847758217,Police/Military,25267,1693023,Personal loan,18674,3112,5,15560,2,6
959,NEKOR688085641,Business Owner/Personal Business,28429,3391386,Vehicle loan,3054,169,9,1521,5,18
960,NEKOR140005745,Judge/Attorney,20451,3581883,Occupational Loans,10113,421,19,7999,8,24
961,NEKOR412570651,Business Owner/Personal Business,37395,6796023,Personal loan,32233,1790,15,26850,5,18
962,NEKOR867863070,Politician/Family Member or Close Asscociates,9443,676888,Vehicle loan,5707,634,3,1902,8,9
963,NEKOR696123301,Charity Officer,7747,630531,Vehicle loan,4841,134,36,4824,4,36
964,NEKOR150746139,Agent/Insurance Broker,14386,90837,Personal loan,11619,484,13,6292,8,24
965,NEKOR233639753,Judge/Attorney,121298,2704341,Occupational Loans,69759,23253,3,69759,8,3
966,NEKOR140699812,Tour Guide,48984,1157834,Personal loan,21151,881,10,8810,5,24
967,NEKOR817124395,Student,22872,31072,Vehicle loan,4925,1641,3,4923,2,3
968,NEKOR606015924,Employee,49453,19126,Personal loan,11161,310,6,1860,9,36
969,NEKOR737552217,Student,26865,144926,Personal loan,24066,1002,6,6012,5,24
970,NEKOR888894831,Police/Military,18356,918885,Vehicle loan,5562,309,17,5253,6,18
971,NEKOR593848131,Employee,21032,61310,Vehicle loan,9130,1014,4,4056,3,9
972,NEKOR991143368,Retired,5980,9779192,Vehicle loan,4032,336,10,3360,3,12
973,NEKOR899322020,Tour Guide,55655,3742618,Vehicle loan,54515,9085,3,27255,8,6
974,NEKOR049618201,Lawyer/Accountant,65287,9078896,Vehicle loan,22477,2497,9,22473,5,9
975,NEKOR361158691,Employee,50359,42606,Personal loan,16759,698,22,15356,6,24
976,NEKOR898819383,Street Vendor,28403,210464,Personal loan,21730,2414,5,12070,3,9
977,NEKOR768818019,Employee,6513,130077,Occupational Loans,3835,213,18,3834,8,18
978,NEKOR053860878,Househusband/Housewife/Unemployed,3241,169636,Occupational Loans,3145,174,18,3132,2,18
979,NEKOR245654312,Tour Guide,19827,2796272,Personal loan,15972,2662,3,7986,9,6
980,NEKOR890988695,Other,53837,4484217,Vehicle loan,49139,1364,31,42284,10,36
981,NEKOR952813837,Other,43988,1404897,Vehicle loan,33425,11141,3,33423,7,3
982,NEKOR588082126,Tour Guide,4947,3160550,Vehicle loan,4632,1544,3,4632,10,3
983,NEKOR473501459,Business Owner/Personal Business,123068,1952378,Personal loan,20707,1150,11,12650,5,18
984,NEKOR710517370,Judge/Attorney,165550,1268831,Occupational Loans,93525,5195,11,57145,8,18
985,NEKOR382173391,Student,9782,51613,Vehicle loan,6015,167,36,6012,7,36
986,NEKOR417217877,Agent/Insurance Broker,10038,453259,Occupational Loans,3481,193,7,1351,0,18
987,NEKOR114306505,Police/Military,19714,1105398,Vehicle loan,14434,2405,6,14430,5,6
988,NEKOR700730226,Tour Guide,31514,1502280,Occupational Loans,23405,2600,8,20800,3,9
989,NEKOR830660748,Docter/Nurse/Pharmacist,18202,326238,Vehicle loan,12529,4176,3,12528,10,3
990,NEKOR470618702,Househusband/Housewife/Unemployed,6343,174265,Occupational Loans,4743,1581,3,4743,5,3
991,NEKOR944167355,Agent/Insurance Broker,29575,358727,Occupational Loans,21147,1762,4,7048,2,12
992,NEKOR981722082,Politician/Family Member or Close Asscociates,13634,581291,Personal loan,13497,562,20,11240,1,24
993,NEKOR798319977,Business Owner/Personal Business,216813,578049,Vehicle loan,160012,6667,24,160008,8,24
994,NEKOR645311438,Agent/Insurance Broker,27578,396456,Personal loan,21910,1217,13,15821,2,18
995,NEKOR882670827,Retired,14065,5828605,Vehicle loan,4274,118,24,2832,5,36
996,NEKOR521317509,Police/Military,3617,1887427,Occupational Loans,3327,277,7,1939,8,12
997,NEKOR120891301,Teacher/Instructor,14265,1133165,Personal loan,6181,686,9,6174,8,9
998,NEKOR426346092,Employee,11037,128112,Personal loan,7490,624,6,3744,7,12
999,NEKOR271935920,Docter/Nurse/Pharmacist,53375,1656525,Occupational Loans,18224,2024,3,6072,7,9
1000,NEKOR524267131,Retired,29296,9380871,Occupational Loans,18162,3027,4,12108,2,6
1001,NEKOR109557190,Agent/Insurance Broker,34767,266027,Vehicle loan,23197,966,5,4830,0,24
1002,NEKOR811176109,Judge/Attorney,19376,3408719,Occupational Loans,15786,2631,5,13155,4,6
1003,NEKOR257147344,Politician/Family Member or Close Asscociates,11597,1449721,Personal loan,10545,1171,8,9368,3,9
1004,NEKOR776639860,Other,52671,4157091,Personal loan,38739,3228,11,35508,2,12
1005,NEKOR943131411,Police/Military,12713,586487,Occupational Loans,4843,269,12,3228,8,18
1006,NEKOR191286772,Agent/Insurance Broker,23000,187868,Occupational Loans,14617,609,14,8526,7,24
1007,NEKOR514763235,Business Owner/Personal Business,133010,8547625,Occupational Loans,76348,25449,3,76347,9,3
1008,NEKOR638361218,Agent/Insurance Broker,15999,146116,Vehicle loan,6038,251,7,1757,7,24
1009,NEKOR896524765,Tour Guide,3414,2294182,Occupational Loans,3323,1107,3,3321,7,3
1010,NEKOR488734056,Politician/Family Member or Close Asscociates,7016,8663361,Personal loan,3236,1078,3,3234,6,3
1011,NEKOR298746574,Street Vendor,15535,570395,Personal loan,5853,162,10,1620,7,36
1012,NEKOR026103426,Househusband/Housewife/Unemployed,5074,54304,Personal loan,4081,340,7,2380,3,12
1013,NEKOR224379905,Student,28903,11290,Personal loan,5519,229,18,4122,0,24
1014,NEKOR032721706,Docter/Nurse/Pharmacist,52908,1781771,Personal loan,48538,2696,9,24264,5,18
1015,NEKOR760013862,Charity Officer,16370,139227,Occupational Loans,15508,861,14,12054,1,18
1016,NEKOR045143804,Docter/Nurse/Pharmacist,55356,1918581,Personal loan,21637,901,23,20723,3,24
1017,NEKOR612152991,Street Vendor,26038,4909114,Vehicle loan,12254,340,24,8160,1,36
1018,NEKOR488434005,Street Vendor,5831,3960082,Occupational Loans,5740,318,13,4134,9,18
1019,NEKOR992587742,Student,27032,127908,Personal loan,15740,1748,5,8740,5,9
1020,NEKOR552458337,Student,6135,162699,Vehicle loan,4381,121,34,4114,0,36
1021,NEKOR724662736,Employee,4705,190055,Vehicle loan,3828,425,5,2125,6,9
1022,NEKOR217371435,Street Vendor,80433,3541471,Occupational Loans,10077,559,7,3913,0,18
1023,NEKOR146351164,Business Owner/Personal Business,48231,1218867,Personal loan,28662,9554,3,28662,7,3
1024,NEKOR193486107,Agent/Insurance Broker,11808,374365,Personal loan,5810,1936,3,5808,10,3
1025,NEKOR747317412,Retired,19407,1950503,Occupational Loans,10844,903,12,10836,8,12
1026,NEKOR444303825,Police/Military,6043,1778926,Personal loan,3933,163,22,3586,0,24
1027,NEKOR805353363,Street Vendor,6266,1757689,Occupational Loans,5454,454,9,4086,4,12
1028,NEKOR801146764,Agent/Insurance Broker,3050,91657,Personal loan,3018,1006,3,3018,5,3
1029,NEKOR959276306,Charity Officer,12031,487314,Occupational Loans,8722,1453,3,4359,1,6
1030,NEKOR710903692,Docter/Nurse/Pharmacist,6760,460503,Personal loan,5219,289,4,1156,2,18
1031,NEKOR166639786,Politician/Family Member or Close Asscociates,7847,7186793,Personal loan,6700,372,18,6696,4,18
1032,NEKOR810092494,Employee,15376,85587,Vehicle loan,3429,571,5,2855,1,6
1033,NEKOR367958029,Police/Military,17402,1728668,Occupational Loans,4139,1379,3,4137,10,3
1034,NEKOR849709003,Police/Military,11317,1225263,Personal loan,8172,908,8,7264,4,9
1035,NEKOR678868855,Househusband/Housewife/Unemployed,6449,70539,Occupational Loans,6361,265,17,4505,3,24
1036,NEKOR698365057,Employee,9481,185898,Occupational Loans,9300,775,5,3875,1,12
1037,NEKOR339463052,Househusband/Housewife/Unemployed,3090,13624,Personal loan,3066,1022,3,3066,6,3
1038,NEKOR862181608,Tour Guide,52208,815334,Vehicle loan,34329,5721,3,17163,0,6
1039,NEKOR560534239,Lawyer/Accountant,20489,5372467,Occupational Loans,16782,5594,3,16782,0,3
1040,NEKOR383802989,Retired,8974,5600464,Vehicle loan,7085,196,34,6664,8,36
1041,NEKOR419033553,Politician/Family Member or Close Asscociates,5111,334323,Personal loan,3796,1265,3,3795,5,3
1042,NEKOR684977726,Retired,23272,8938757,Occupational Loans,22100,920,6,5520,10,24
1043,NEKOR574154194,Business Owner/Personal Business,36251,4172555,Personal loan,5167,861,4,3444,1,6
1044,NEKOR400094102,Agent/Insurance Broker,7700,184179,Vehicle loan,6512,180,25,4500,9,36
1045,NEKOR556764103,Teacher/Instructor,12475,3084367,Vehicle loan,4077,453,3,1359,8,9
1046,NEKOR420863012,Lawyer/Accountant,138370,7026652,Personal loan,100576,5587,12,67044,1,18
1047,NEKOR838525831,Police/Military,14265,971587,Occupational Loans,6840,760,4,3040,7,9
1048,NEKOR190900022,Retired,4892,2423880,Occupational Loans,3867,1289,3,3867,8,3
1049,NEKOR771246640,Politician/Family Member or Close Asscociates,7286,7148644,Personal loan,5813,242,11,2662,2,24
1050,NEKOR212757118,Teacher/Instructor,11511,3153005,Vehicle loan,11483,318,6,1908,6,36
1051,NEKOR656466656,Docter/Nurse/Pharmacist,13319,874107,Occupational Loans,9594,1599,6,9594,3,6
1052,NEKOR199956007,Judge/Attorney,47823,665335,Occupational Loans,23731,1977,10,19770,10,12
1053,NEKOR835730346,Other,16837,4644112,Vehicle loan,10102,1683,5,8415,10,6
1054,NEKOR410141839,Charity Officer,9488,723434,Personal loan,5460,455,5,2275,6,12
1055,NEKOR863561285,Judge/Attorney,113451,2581316,Occupational Loans,94128,31376,3,94128,10,3
1056,NEKOR427635774,Lawyer/Accountant,41366,5879773,Vehicle loan,29604,2467,4,9868,10,12
1057,NEKOR621348404,Politician/Family Member or Close Asscociates,8065,8005054,Personal loan,6192,1032,4,4128,4,6
1058,NEKOR971264607,Police/Military,9560,657977,Occupational Loans,4762,198,5,990,1,24
1059,NEKOR402014586,Charity Officer,3800,70742,Occupational Loans,3442,573,4,2292,10,6
1060,NEKOR130955020,Business Owner/Personal Business,124556,8968461,Occupational Loans,7209,1201,4,4804,1,6
1061,NEKOR461896751,Docter/Nurse/Pharmacist,11688,675445,Personal loan,6877,764,8,6112,4,9
1062,NEKOR431542475,Employee,5991,128340,Vehicle loan,4195,466,7,3262,1,9
1063,NEKOR228105915,Househusband/Housewife/Unemployed,3580,22517,Personal loan,3393,282,4,1128,1,12
1064,NEKOR410493875,Teacher/Instructor,5590,1130745,Vehicle loan,3220,89,25,2225,1,36
1065,NEKOR883378389,Street Vendor,12496,3377479,Personal loan,12133,1348,3,4044,4,9
1066,NEKOR959319506,Tour Guide,45234,3091926,Vehicle loan,19633,2181,3,6543,2,9
1067,NEKOR730961187,Tour Guide,18550,994008,Occupational Loans,3202,133,6,798,4,24
1068,NEKOR849698221,Police/Military,8926,976749,Vehicle loan,3926,218,6,1308,7,18
1069,NEKOR751910639,Politician/Family Member or Close Asscociates,7730,3890579,Vehicle loan,6884,2294,3,6882,0,3
1070,NEKOR634273695,Other,26611,4102273,Personal loan,17836,2972,5,14860,3,6
1071,NEKOR074473297,Business Owner/Personal Business,278237,8523002,Vehicle loan,51641,8606,5,43030,2,6
1072,NEKOR556845752,Business Owner/Personal Business,41815,8401214,Occupational Loans,39989,6664,6,39984,2,6
1073,NEKOR885993831,Lawyer/Accountant,124706,3851516,Vehicle loan,122787,5116,3,15348,9,24
1074,NEKOR404082727,Tour Guide,3641,1635504,Personal loan,3424,380,5,1900,4,9
1075,NEKOR655305988,Charity Officer,3958,790782,Occupational Loans,3446,574,5,2870,6,6
1076,NEKOR389831144,Employee,26584,57622,Vehicle loan,7681,853,9,7677,7,9
1077,NEKOR922552959,Charity Officer,4274,562265,Occupational Loans,3899,216,15,3240,7,18
1078,NEKOR871349885,Student,10985,135945,Vehicle loan,5026,837,3,2511,4,6
1079,NEKOR700020374,Tour Guide,24894,4086615,Vehicle loan,6893,287,14,4018,6,24
1080,NEKOR846129337,Retired,6627,7383913,Personal loan,4808,534,3,1602,9,9
1081,NEKOR960409650,Employee,16002,165464,Personal loan,12344,2057,5,10285,3,6
1082,NEKOR643184146,Agent/Insurance Broker,8444,239141,Occupational Loans,4377,364,9,3276,5,12
1083,NEKOR007481847,Househusband/Housewife/Unemployed,5032,139785,Occupational Loans,3456,288,3,864,0,12
1084,NEKOR971617526,Student,6008,76616,Occupational Loans,5563,927,4,3708,8,6
1085,NEKOR279315766,Charity Officer,22258,71495,Personal loan,19812,1100,5,5500,7,18
1086,NEKOR000512258,Agent/Insurance Broker,19644,321548,Vehicle loan,8005,222,11,2442,7,36
1087,NEKOR814031919,Employee,13336,98144,Vehicle loan,4498,249,8,1992,8,18
